request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,26933.3,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,13634.1,not_affordable,not_recommended,none,,none,Do not proceed with the INR 368300 request. None of the available options keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This leaves at least ZAR 24700 available over the next 90 days.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days.
request_106,607.5,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,Pay EUR 2207.7 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1200 minimum.
request_107,964.52,not_affordable,not_recommended,none,,none,Do not proceed with the EUR 2534.4 request. None of the available options keeps the EUR 1600 minimum protected.
request_108,4984.88,not_affordable,not_recommended,none,2026-09-15,none,Do not proceed with the ZAR 55308 request. None of the available options keeps the ZAR 24100 minimum protected.
request_109,698.09,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 6 August 2025. This leaves at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This leaves at least EUR 500 available over the next 90 days.
request_113,31768.12,affordable_later,wait,2026-09-15:36500,2026-09-15,none,Pay INR 36500 in full on 2026-09-15. Paying earlier would take the balance below the INR 82300 minimum.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days.
request_115,17232.77,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Pay INR 80500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38800 minimum.
request_116,20204.58,not_affordable,not_recommended,none,,none,Do not proceed with the INR 241200 request. None of the available options keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days.
request_118,682.81,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,74278.4,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70546.67, starting 18 May 2025. This leaves at least INR 151200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 5 August 2025. This leaves at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This leaves at least IDR 18091200 available over the next 90 days.
request_124,1526.33,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This leaves at least EUR 1600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. This leaves at least ZAR 11300 available over the next 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days.
request_127,13110.14,affordable_later,wait,2024-09-15:23980,2024-09-15,none,Pay ZAR 23980 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days.
request_129,157.87,not_affordable,not_recommended,none,,none,Do not proceed with the USD 2668.8 request. None of the available options keeps the USD 800 minimum protected.
request_130,531.59,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,Pay USD 1978.8 in full on 2025-02-15. Paying earlier would take the balance below the USD 1400 minimum.
request_131,1300.32,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1100 available."
request_132,332.21,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,Pay USD 379.86 in full on 2026-01-15. Paying earlier would take the balance below the USD 1100 minimum.
request_133,1345882.16,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 15770000 request. None of the available options keeps the IDR 9986200 minimum protected.
request_134,6261549.45,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Pay IDR 21831000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today. This leaves at least USD 1100 available over the next 90 days.
request_137,30013.48,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Pay INR 80100 in full on 2026-01-15. Paying earlier would take the balance below the INR 71800 minimum.
request_138,1122.55,affordable_with_plan,partial_payment,2026-04-07:1122.55|2026-04-15:134.39,2026-04-15,none,Pay EUR 1122.55 today and the remaining EUR 134.39 on 2026-04-15. This completes the full request and keeps the EUR 2300 minimum protected.
request_139,1489.73,not_affordable,not_recommended,none,2024-10-15,none,Do not proceed with the USD 2316 request. None of the available options keeps the USD 1500 minimum protected.
request_140,3039.98,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 62832 request. None of the available options keeps the ZAR 21600 minimum protected.
request_141,28087.21,not_affordable,not_recommended,none,,none,Do not proceed with the INR 171600 request. None of the available options keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This leaves at least USD 1700 available over the next 90 days.
